month_listed,rental_$,zip_code,days_on_market,street_address,reduce_price
1,3200,90501,60,2840 Border Ave,N
1,3300,90503,63,2300 Maple Ave #44,Y
3,3300,90503,7,2300 Maple Ave #136,N
3,3600,90501,15,1800 Oak St #110,N
3,3500,90501,15,1800 Oak St #619,N
3,3200,90501,30,1800 Oak St,N
3,3500,90501,30,1317 Madrid Ave,N
3,3200,90503,50,2300 Maple Ave #222,Y
3,3600,90503,10,3538 Torrance Boulevard #123,N
3,3000,90503,90,5500 Torrance Boulevard #B118,Y
3,2950,90503,56,3101 Plaza Del Amo #82,Y
3,3400,90503,100,2825 Plaza Del Amo #133,N
3,3300,90503,52,2825 Plaza Del Amo #152,Y
4,3600,90501,5,1800 Oak St #510,N
4,3600,90501,30,1800 Oak St #404,Y
4,2995,90501,56,2219 Andreo Ave,Y
4,3300,90503,49,2300 Maple Ave #215,N
4,3200,90503,50,2300 Maple Ave #75,N
4,3300,90503,46,3418 Del Amo Boulevard,N
4,3300,90503,12,2300 Maple Ave #144,N
4,3390,90503,34,3538 Torrance Boulevard #133,N
4,3300,90503,43,3538 Torrance Boulevard #148,N
4,3350,90503,60,3538 Torrance Boulevard #104,N
4,3200,90503,7,2621 Plaza Del Amo #524 ,N
5,2700,90501,5,2704 Cabrillo Ave,N
5,3400,90501,30,2303 Jefferson Street #1113,N
5,2750,90501,3,2104 Andreo Ave,N
5,3389,90501,35,808 Amapola Ave,Y
5,3250,90503,8,2300 Maple Ave #67,N
5,3300,90503,14,2300 Maple Ave #172,Y
5,3300,90503,45,2300 Maple Ave #59,N
5,3300,90503,30,2300 Maple Ave #116,N
5,3050,90503,30,3538 Torrance Boulevard #172,N
5,3050,90503,10,2800 Plaza Del Amo #397,N
5,3200,90503,6,2615 Plaza Del Amo #609,N
6,3300,90501,10,1800 Oak St #510,N
6,3200,90503,15,2300 Maple Ave #177,N
6,3200,90503,21,2300 Maple Ave #139,N
6,3300,90503,30,2300 Maple Ave #2,N
6,3300,90503,7,2300 Maple Ave #38,N
6,3200,90503,14,3538 Torrance Boulevard #110,N
6,3250,90503,14,3538 Torrance Boulevard #105,N
6,3195,90503,7,3538 Torrance Boulevard #176,N
6,2998,90503,15,2595 Plaza Del Amo #407,N
6,3350,90505,30,2801 Sepulveda Boulevard #80,N
7,3000,90501,21,2016 Gramercy Ave,Y
7,2850,90501,10,2504 Apple Ave,N
7,3200,90503,10,2300 Maple Ave #15,N
7,3000,90503,7,2130 Plaza Del Amo,N
7,3100,90503,15,2800 Plaza Del Amo #85,N
7,3400,90505,7,2801 Sepulveda Boulevard #35,N